EVENTNUM,EVENTMSGTYPE,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,VISITORDESCRIPTION,SCOREMARGIN,PLAYER1_ID,PLAYER1_TEAM_CITY,shot time,shot clock usage,closest defender,distance
176,1,2,9:10,Turner  Driving Finger Roll Layup (4 PTS),,-1.0,202323,Boston,885.96,8.2,1.879586130109496,2.785485530692989
177,2,2,8:57,,MISS Young 7' Jump Shot,-1.0,201152,Brooklyn,908.51,10.48,5.044794376879994,11.259996783170052
179,2,2,8:50,MISS Turner 25' 3PT Jump Shot,,-1.0,202323,Boston,908.51,7.760000000000002,7.960302419035347,23.072782456712932
181,2,2,8:39,Zeller BLOCK (1 BLK),MISS Young 3' Jump Shot,-1.0,201152,Brooklyn,927.23,10.24,2.725622533807635,5.720381322971394
183,2,2,8:32,MISS Jerebko 25' 3PT Jump Shot,,-1.0,201973,Boston,927.23,7.539999999999999,13.169319345118028,24.622320173472687
190,2,2,8:07,,MISS Young 8' Floating Jump Shot,-1.0,201152,Brooklyn,950.5699999999999,21.55,2.767768736094116,6.452130372559133
191,1,2,8:06,,Lopez 1' Putback Layup (16 PTS),-3.0,201572,Brooklyn,952.01,21.55,2.9946554255540074,
194,1,2,7:47,,Young  Running Layup (8 PTS) (Johnson 2 AST),-5.0,201152,Brooklyn,970.4100000000001,5.579999999999998,4.531513404106838,1.395015759409192
199,2,2,7:31,MISS Thomas 18' Pullup Jump Shot,,-5.0,202738,Boston,986.9200000000001,13.49,2.1004832415898975,16.52735556561908
200,1,2,7:30,Johnson  Putback Dunk (6 PTS),,-3.0,101161,Boston,987.48,13.49,,
204,1,2,7:05,,Young 20' Jump Shot (10 PTS),-5.0,201152,Brooklyn,1013.06,19.92,4.2761135757835085,18.76623460987846
205,2,2,6:47,MISS Sullinger 1' Layup,,-5.0,203096,Boston,1031.07,15.64,0.0,0.5188019935389604
206,2,2,6:46,MISS Sullinger 2' Tip Layup Shot,,-5.0,203096,Boston,1031.07,15.64,0.0,0.5188019935389604
212,2,2,6:18,,MISS Lopez 13' Turnaround Fadeaway Shot,-5.0,201572,Brooklyn,1061.32,19.7,3.534288562596436,13.830551567095942
214,2,2,6:10,MISS Crowder 9' Jump Shot,,-5.0,203109,Boston,1067.75,5.18,,
230,2,2,5:35,MISS Crowder 25' 3PT Jump Shot,,-5.0,203109,Boston,1103.41,20.81,4.641083656927549,23.2671393622379
232,1,2,5:27,Thomas 1' Driving Layup (7 PTS) (Johnson 1 AST),,-6.0,202738,Boston,1103.41,20.81,1.9946444784472246,10.215677545909521
233,2,2,5:07,,MISS Johnson 25' 3PT Jump Shot,-6.0,2207,Brooklyn,1132.71,20.73,4.012058877160193,24.469675861473924
243,2,2,4:32,,MISS Johnson 18' Turnaround Fadeaway Shot,-6.0,2207,Brooklyn,1166.8,16.16,2.898492001368985,16.621783342589925
245,2,2,4:23,MISS Sullinger 27' 3PT Jump Shot,,-6.0,203096,Boston,1176.8899999999999,8.64,5.229181920950925,24.449135004780846
256,2,2,3:45,,MISS Lopez 10' Floating Jump Shot,-6.0,201572,Brooklyn,1213.6599999999999,16.05,3.142474996718349,10.090023892310656
260,2,2,3:24,,MISS Reed 8' Jump Shot,-6.0,203186,Brooklyn,1235.85,14.71,2.031354959035965,6.028792073923269
261,2,2,3:23,,MISS Reed 2' Tip Layup Shot,-6.0,203186,Brooklyn,1235.85,14.71,2.031354959035965,6.028792073923269
271,2,2,3:06,,MISS Ellington  3PT Jump Shot,-6.0,201961,Brooklyn,1253.74,17.02,5.920313503633067,22.047762345326568
276,2,2,2:57,,MISS Bargnani 21' Jump Shot,-6.0,200745,Brooklyn,1262.32,8.91,9.886924463937197,18.955475296148595
284,2,2,2:35,,MISS Bogdanovic 18' Step Back Jump Shot,-6.0,202711,Brooklyn,1284.49,16.95,4.030912333517062,14.62964664478264
286,1,2,2:18,Lee  Cutting Dunk Shot (3 PTS) (Thomas 4 AST),,1.0,101135,Boston,1301.4,14.43,,
288,2,2,1:58,,MISS Johnson  3PT Jump Shot,1.0,2207,Brooklyn,1320.28,15.75,4.78514699301913,22.079947088315226
290,2,2,1:51,MISS Lee  Cutting Layup Shot,,1.0,101135,Boston,1327.5900000000001,6.309999999999999,2.088153414143702,2.7195304233635635
298,1,2,1:26,Crowder 21' Jump Shot (10 PTS) (Lee 1 AST),,1.0,203109,Boston,1351.63,14.81,4.855442096709628,22.344968814041785
299,1,2,1:09,,Bargnani 19' Jump Shot (2 PTS) (Sloan 1 AST),-1.0,200745,Brooklyn,1369.35,15.65,3.3325645508827026,18.403324567199803
300,2,2,0:47,MISS Turner  3PT Jump Shot,,-1.0,202323,Boston,1391.1599999999999,18.89,11.330029951032792,21.99046363358899
309,1,2,0:30,Thomas 1' Running Reverse Layup (11 PTS),,-1.0,202738,Boston,1409.4,6.0,,
310,1,2,0:11,,Sloan 1' Driving Layup (2 PTS) (Bargnani 1 AST),-3.0,202388,Brooklyn,1427.76,18.27,1.038711978798745,3.5420104830025556
311,1,2,0:02,Thomas 2' Driving Finger Roll Layup (13 PTS),,-1.0,202738,Boston,1437.23,19.0,0.7712472758460804,4.3646886571667425
313,2,2,0:00,,MISS Sloan 55' 3PT Jump Shot,-1.0,202388,Brooklyn,1437.23,,,
317,2,3,11:44,MISS Thomas 25' 3PT Jump Shot,,-1.0,202738,Boston,1454.1100000000001,14.68,4.443693418452717,23.898392529199533
319,2,3,11:29,,MISS Lopez 12' Jump Shot,-1.0,201572,Brooklyn,1468.53,13.64,2.6619423406602936,8.770489428173322
321,1,3,11:26,,Young 7' Hook Shot (12 PTS),-3.0,201152,Brooklyn,1470.9299999999998,13.64,2.0754328071513175,5.899203317474319
322,2,3,11:15,MISS Sullinger 17' Jump Shot,,-3.0,203096,Boston,1485.71,10.6,6.47954210873731,16.886858245040724
326,1,3,10:53,Crowder 26' 3PT Jump Shot (13 PTS) (Thomas 5 AST),,0.0,203109,Boston,1505.5700000000002,12.22,4.897881911244901,23.396529352897623
327,2,3,10:25,,MISS Lopez 3' Driving Finger Roll Layup,0.0,201572,Brooklyn,1532.3600000000001,23.04,2.9910807125184706,9.82503243773271
329,2,3,10:18,,MISS Johnson  3PT Jump Shot,0.0,2207,Brooklyn,1532.3600000000001,23.04,2.6800447848870035,26.288063783628118
332,2,3,10:00,,MISS Jack  Layup,0.0,101127,Brooklyn,1560.95,8.26,,
333,2,3,9:59,,MISS Lopez  Tip Layup Shot,0.0,201572,Brooklyn,1560.95,8.26,,
335,2,3,9:58,,MISS Lopez 1' Tip Layup Shot,0.0,201572,Brooklyn,1560.95,8.26,,
354,1,3,9:17,,Johnson 26' 3PT Jump Shot (12 PTS) (Lopez 1 AST),-5.0,2207,Brooklyn,1598.5900000000001,11.57,6.702143869926996,23.184804195793845
355,2,3,8:57,MISS Thomas  3PT Jump Shot,,-5.0,202738,Boston,1621.3600000000001,20.12,7.127643053085644,21.61009087318237
358,2,3,8:34,,MISS Jack 8' Jump Shot,-5.0,101127,Brooklyn,1644.51,22.27,6.401769977974842,8.145771173928225
363,2,3,7:58,,MISS Jack 25' 3PT Jump Shot,-5.0,101127,Brooklyn,1681.13,18.37,6.93556245567005,23.71809221009354
365,2,3,7:45,MISS Thomas 10' Jump Shot,,-5.0,202738,Boston,1693.37,10.93,,
367,1,3,7:37,,Young 7' Turnaround Hook Shot (14 PTS) (Jack 8 AST),-7.0,201152,Brooklyn,1701.93,8.4,,
368,2,3,7:13,MISS Turner 12' Turnaround Fadeaway Shot,,-7.0,202323,Boston,1725.55,16.13,8.616095508900774,10.376174994515079
370,1,3,7:00,,Johnson 22' Jump Shot (14 PTS),-9.0,2207,Brooklyn,1739.3600000000001,13.53,6.681420048612419,22.754490286437974
375,2,3,6:48,MISS Crowder 25' 3PT Jump Shot,,-9.0,203109,Boston,1751.05,12.44,4.091374696358182,23.277389778643567
377,2,3,6:32,,MISS Johnson 11' Jump Shot,-9.0,2207,Brooklyn,1765.72,14.01,6.287839219421882,12.802963672513485
379,1,3,6:25,Thomas  Running Finger Roll Layup (15 PTS),,-7.0,202738,Boston,1773.82,5.32,,
380,2,3,6:04,,MISS Lopez 9' Hook Shot,-7.0,201572,Brooklyn,1795.05,18.92,2.1520802862579274,7.792403930989461
388,2,3,5:40,MISS Turner 18' Jump Shot,,-7.0,202323,Boston,1819.12,19.44,3.7120674940254053,17.949693933663603
395,2,3,5:26,,MISS Johnson 24' 3PT Jump Shot,-7.0,2207,Brooklyn,1832.4,11.41,2.7264787508616317,20.576125726195396
397,2,3,5:14,MISS Lee 8' Turnaround Hook Shot,,-7.0,101135,Boston,1844.57,11.61,2.1474482711581255,7.4974034978784445
399,1,3,5:02,,Lopez 9' Fadeaway Jumper (20 PTS),-9.0,201572,Brooklyn,1844.57,,,
415,1,3,4:27,,Reed 13' Jump Shot (6 PTS) (Jack 9 AST),-11.0,203186,Brooklyn,1892.2,12.41,5.025274496990191,13.313107137651976
416,1,3,4:10,Olynyk 25' 3PT Jump Shot (7 PTS) (Smart 1 AST),,-8.0,203482,Boston,1909.6399999999999,12.69,8.208904848784634,24.185529911354017
417,1,3,3:52,,Bogdanovic  3PT Jump Shot (11 PTS) (Lopez 2 AST),-11.0,202711,Brooklyn,1927.27,14.17,5.430158920105379,23.131705055637383
418,2,3,3:39,MISS Lee 2' Layup,Jack BLOCK (1 BLK),-11.0,101135,Boston,1940.18,10.41,,
420,2,3,3:20,,MISS Lopez 7' Hook Shot,-11.0,201572,Brooklyn,1958.58,19.36,5.343826021728252,10.650924285985699
422,2,3,3:11,MISS Lee 7' Jump Shot,,-11.0,101135,Boston,1967.07,8.01,2.0918163457626906,5.392731140043974
428,2,3,2:49,,MISS Reed 16' Jump Shot,-11.0,203186,Brooklyn,1990.47,21.0,6.275038388057879,16.216494514367156
430,2,3,2:42,MISS Olynyk 25' 3PT Jump Shot,,-11.0,203482,Boston,1997.1599999999999,6.25,4.818363571110009,24.197846956613727
435,2,3,2:24,MISS Thomas 7' Floating Jump Shot,,-11.0,202738,Boston,2013.9,8.24,3.3165132782788636,7.187562514969872
443,2,3,2:07,,MISS Ellington  3PT Jump Shot,-11.0,201961,Brooklyn,2031.43,15.77,7.251904140472347,23.201173609944828
444,1,3,2:05,,Bargnani 1' Tip Layup Shot (4 PTS),-13.0,200745,Brooklyn,2031.9099999999999,15.77,,
446,1,3,1:52,Thomas 11' Jump Shot (17 PTS),,-11.0,202738,Boston,2045.8400000000001,10.53,2.519145865169382,9.721969275748618
447,1,3,1:34,,Bogdanovic 2' Driving Layup (13 PTS),-13.0,202711,Brooklyn,2063.21,15.2,2.1156299453826994,5.432435524191705
450,2,3,1:21,MISS Smart  3PT Jump Shot,,-13.0,203935,Boston,2077.63,13.15,4.03764361920415,22.34208954225186
452,2,3,1:19,MISS Jerebko  Layup,,-13.0,201973,Boston,2078.23,13.15,2.3248721119450844,1.7753535250478976
455,2,3,0:56,MISS Thomas 27' 3PT Pullup Jump Shot,,-13.0,202738,Boston,2101.71,5.640000000000001,5.264190632233979,23.99687598337958
458,2,3,0:34,,MISS Bogdanovic 12' Driving Hook Shot,-13.0,202711,Brooklyn,2124.37,22.23,2.283535689626943,8.87655133105194
460,1,3,0:26,Smart 2' Driving Finger Roll Layup (5 PTS),,-11.0,203935,Boston,2124.37,,,
464,2,3,0:04,,MISS Bogdanovic 26' 3PT Step Back Jump Shot,-11.0,202711,Brooklyn,2154.75,,5.909947410155186,25.2254762472743
466,2,3,0:00,MISS Thomas 34' 3PT Jump Shot,,-11.0,202738,Boston,2154.75,,,
472,2,4,11:25,MISS Smart 26' 3PT Jump Shot,,-11.0,203935,Boston,2193.59,17.96,4.867603137253494,23.872993076198053
475,2,4,11:07,,MISS Larkin 12' Jump Shot,-11.0,203499,Brooklyn,2211.4,17.69,3.083623119400296,11.252861719265015
478,1,4,10:54,Smart 2' Driving Layup (8 PTS) (Turner 1 AST),,-8.0,203935,Boston,2223.58,12.47,4.497608425874798,1.787633315559989
479,2,4,10:33,,MISS Ellington 25' 3PT Jump Shot,-8.0,201961,Brooklyn,2246.01,19.27,5.439082906244398,23.88624777214077
482,1,4,10:19,Jerebko 26' 3PT Jump Shot (5 PTS) (Turner 2 AST),,-5.0,201973,Boston,2259.25,12.56,6.225264190409918,23.65736334448537
486,1,4,9:49,,Johnson 15' Step Back Jump Shot (16 PTS) (Larkin 2 AST),-7.0,2207,Brooklyn,2289.9,21.89,3.904447900740897,16.26608561778156
487,1,4,9:39,Smart 3' Layup (10 PTS) (Jerebko 1 AST),,-5.0,203935,Boston,2289.9,,,
499,2,4,8:51,,MISS Young 7' Driving Hook Shot,-5.0,201152,Brooklyn,2346.57,10.74,2.449596416738888,7.77385187459859
501,1,4,8:38,Turner 15' Step Back Jump Shot (8 PTS),,0.0,202323,Boston,2360.2200000000003,14.03,2.7413821178741227,11.517817018450154
505,1,4,8:24,,Lopez 8' Turnaround Jump Shot (23 PTS),-2.0,201572,Brooklyn,2375.54,14.25,0.6393680320441443,7.989040012022722
509,1,4,8:03,Turner 1' Driving Reverse Layup (10 PTS),,-1.0,202323,Boston,2395.95,20.11,,
510,2,4,7:44,,MISS Johnson 8' Floating Jump Shot,-1.0,2207,Brooklyn,2413.23,13.6,2.4446143188036844,9.306447227443996
